product_id,soco_brand,soco_product_name,status_sebelumnya
P000732,Moko Moko,BB Cushion,error
P000744,Mustika Ratu,Beauty Queen Coverage Foundation Matte Finish Ivory,error
P000751,Nameera,Naturally Luminous BB Cushio SPF 15PA++,error
P000754,NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,error
P000767,NPure,Power Cushion,error
P000771,NYX Professional Makeup,Can't Stop Won't Stop Foundation (Won't Stop Foundation - Nude),error
P000774,NYX Professional Makeup,High Definition Foundation,error
P000775,NYX Professional Makeup,NYX Prof. Makeup Bare With Me Tinted Skin Veil,error
P000777,NYX Professional MakeUp-OLD,Stay Matte But Not Flat Powder Foundation,error
P000781,O.Two.O,Liquid Foundation,error
P000785,Oriflame,Giordani Gold Age Defying Foundation SPF 8,error
P000789,Oriflame,The ONE Matte Velvet Foundation SPF 20,error
P000808,Pixy,Pixy Make It Glow Techno Fixed - Matte Cushion,error
P000811,Pixy,Stick Foundation,error
P000815,Pradasari,Alas Bedak,error
P000817,Purbasari,Foundation,error
P000818,Purbasari,Purbasari Pore Perfecting BB Cushion,error
P000825,Red-A,Liquid Foundation Translucent,error
P000832,Revlon,New Complexion 2 Way Foundation,error
P000833,Revlon,New Complexion Oil Control Makeup,error
P000836,Revlon,Photoready Airbrush Effect,error
P000839,Revlon,Photoready Insta-Filter Foundation,error
P000840,Revlon,Photoready Liquid Makeup,error
P000841,Revlon,Powdery Foundation SPF 15 PA ++,error
P000843,RIVERA,Cover It All Foundation,error
P000844,RIVERA,Liquid Foundation SPF 20 40 ml,error
P000856,SADA Hybrid Beauty,Rubin Signature Airy BB Cushion,error
P000859,Sarange,Daily Cover BB Cushion 15g,error
P000860,Sariayu,Alas Bedak Energizing Aromatic,error
P000861,Sariayu,Alas Bedak Energizing Aromatic - kuning-pengantin,error
P000863,SASC,Lift Oléoactif White Truffle Flawless Cushion,error
P000871,Sephora Collection,10hr Perfect Foundation,error
P000873,Sephora Collection,Bright & Hydrating Foundation,error
P000875,Sephora Collection,Mineral Foundation Compact,error
P000877,Shiseido,Lasting Foundation - 30ml,error
P000881,Shiseido,Synchro Skin Lasting Liquid Foundation Broad Spectrum SPF 20,error
P000889,Shu Uemura,Lightbulb Fluid Foundation,error
P000891,Shu Uemura,Petal Skin Foundation,error
P000894,Silkygirl,BB Cushion,error
P000910,Skintific,Limited Cushion Denim Set,error
P000982,the saem,Jeju Fresh Aloe Cooling Cushion Natural Beige,no_ingredients
P001003,TONYMOLY,Facetone Skin Tint,error
P001009,Ultima II,Wonderwear Makeup 30 ml,error
P001010,Ultima II,Wonderwear Stay Last Liquid Makeup,error
P001019,Viva,Covering Cream,error
P001020,Viva,Liquid Foundation,error
P001021,Viva,Liquid Foundation with Bengkuang Extract,error
P001024,Viva,Perfect Look CC Foundation,error
P001025,Viva,Perfect Look Cover Up Foundation,error
P001027,Viva,Sunscreen Foundation,error
P001028,Viva,Ultra Foundation,error
P001046,Wardah,Luminous Creamy Foundation Light Feel,error
P001056,Wet n Wild,CoverAll Crème Foundation,error
P001057,Wet n Wild,MegaCushion Foundation,error
P001068,YOU Beauty,Dream Skin Perfect Cushion,error
